,Frequency
hsa-mir-548q,2
hsa-mir-548ap,2
hsa-mir-3180-1,2
hsa-mir-875,2
hsa-mir-520f,2
hsa-mir-1288,2
hsa-mir-4507,2
hsa-mir-4666a,2
hsa-mir-137,2
hsa-mir-5694,2
hsa-mir-2467,2
hsa-mir-7113,2
hsa-mir-3126,2
hsa-mir-3183,2
hsa-mir-580,2
hsa-mir-4730,2
hsa-mir-6869,2
hsa-mir-4489,2
hsa-mir-7845,2
hsa-mir-1972-1,2
hsa-mir-1289-2,2
hsa-mir-135a-1,2
hsa-mir-675,2
hsa-mir-6751,2
hsa-mir-6766,2
hsa-mir-3622b,2
hsa-mir-3910-1,2
hsa-mir-4652,2
hsa-mir-4743,2
hsa-mir-765,2
hsa-mir-181b-1,2
hsa-mir-1293,2
hsa-mir-637,2
hsa-mir-371a,2
hsa-mir-3116-2,2
hsa-mir-548x,2
hsa-mir-1203,2
hsa-mir-517a,2
hsa-mir-5689,2
hsa-mir-4522,2
hsa-mir-631,2
hsa-mir-329-2,2
hsa-mir-548k,2
hsa-mir-6504,2
hsa-mir-3064,2
hsa-mir-6865,2
hsa-mir-4488,2
hsa-mir-548aa-2,2
hsa-mir-3160-2,2
hsa-mir-1269b,2
hsa-mir-647,2
hsa-mir-302d,2
hsa-mir-1539,2
hsa-mir-612,2
hsa-mir-4799,2
hsa-mir-1471,2
hsa-mir-6769b,2
hsa-mir-133a-2,2
hsa-mir-148b,2
hsa-mir-6760,2
hsa-mir-4703,2
hsa-mir-4506,2
hsa-mir-613,2
hsa-mir-4775,2
hsa-mir-614,2
hsa-mir-4673,2
hsa-mir-329-1,2
hsa-mir-2909,2
hsa-mir-1271,2
hsa-mir-6510,2
hsa-mir-7641-2,2
hsa-mir-193b,2
hsa-mir-4257,2
hsa-mir-4667,2
hsa-mir-23b,2
hsa-mir-548f-5,2
hsa-mir-889,2
hsa-mir-370,2
hsa-mir-514a-1,2
hsa-mir-1305,2
hsa-mir-6775,2
hsa-mir-3941,2
hsa-mir-3202-1,2
hsa-mir-6717,2
hsa-mir-6795,2
hsa-mir-4278,2
hsa-mir-1184-1,2
hsa-mir-493,2
hsa-mir-1914,2
hsa-mir-6507,2
hsa-mir-4792,2
hsa-mir-523,2
hsa-mir-599,2
hsa-mir-4672,2
hsa-mir-4519,2
hsa-mir-6083,2
hsa-mir-6790,2
hsa-mir-3621,2
hsa-mir-5680,2
hsa-mir-5089,2
hsa-mir-1237,2
hsa-mir-4518,2
hsa-mir-1303,2
hsa-mir-4280,2
hsa-mir-6886,2
hsa-mir-8058,2
hsa-mir-4641,2
hsa-mir-3156-2,2
hsa-mir-448,2
hsa-mir-516a-2,2
hsa-mir-6721,2
hsa-mir-548aw,2
hsa-mir-3150b,2
hsa-mir-4773-1,2
hsa-mir-3939,2
hsa-mir-3181,2
hsa-mir-4663,2
hsa-mir-4773-2,2
hsa-mir-4459,2
hsa-mir-6848,2
hsa-mir-4681,2
hsa-mir-6757,2
hsa-mir-1913,2
hsa-mir-3975,2
hsa-mir-2392,2
hsa-mir-4480,2
hsa-mir-8059,2
hsa-mir-515-2,2
hsa-mir-573,2
hsa-mir-509-1,2
hsa-mir-4719,2
hsa-mir-2682,2
hsa-mir-548v,2
hsa-mir-195,2
hsa-mir-185,2
