Feature,Score,p_value,selection_frequency
hsa-mir-4698,2.3927399880836866,0.6639396653044746,0.0
hsa-mir-8075,2.3880745352431743,0.6647834571111939,0.0
hsa-mir-548ay,2.383662228450828,0.6655817594401785,0.0
hsa-mir-4493,2.3552687573532363,0.6707255524169813,0.0
hsa-mir-4489,2.340279986392718,0.6734454274288637,0.0
hsa-mir-8066,2.334938375193923,0.6744154430112015,0.0
hsa-mir-6823,2.3314482021075436,0.6750494457994278,0.0
hsa-mir-8052,2.3295407344366934,0.6753960108909725,0.01
hsa-mir-3133,2.3264128144024765,0.6759644193444359,0.0
hsa-mir-3689c,2.3223737315783373,0.6766985895199288,0.0
hsa-mir-6500,2.315266751887001,0.6779908991555283,0.0
hsa-mir-5583-1,2.284472785244564,0.6835974445411969,0.0
hsa-mir-1285-1,2.2767987264227445,0.6849963459208418,0.0
hsa-mir-718,2.272924286620288,0.6857028650696801,0.0
hsa-mir-892a,2.268045029495188,0.6865928501458165,0.0
hsa-mir-711,2.2540951281877817,0.6891387385349008,0.0
hsa-mir-892b,2.252123422601919,0.6894987429728527,0.0
hsa-mir-6869,2.24002969017024,0.691707739715675,0.0
hsa-mir-3119-2,2.232377434180802,0.6931062162737316,0.0
hsa-mir-5011,2.2272643956371714,0.6940409534301878,0.0
hsa-mir-6872,2.175082790575122,0.7035935821104243,0.0
hsa-mir-941-1,2.1613449152805546,0.7061120668056061,0.0
hsa-mir-6796,2.1584750698552138,0.7066383453205869,0.0
hsa-mir-3128,2.144235130815898,0.7092504984146613,0.0
hsa-mir-3121,2.134748109131178,0.7109914850421102,0.0
hsa-mir-6873,2.120890964776927,0.7135353709877921,0.0
hsa-mir-563,2.1150121251816394,0.7146149145350484,0.0
hsa-mir-5584,2.10792665583271,0.7159162625879935,0.0
hsa-mir-5702,2.1009591179082627,0.7171961811258931,0.0
hsa-mir-663a,2.086375435541119,0.7198758425361103,0.0
hsa-mir-1193,2.0861995807744687,0.7199081599599961,0.0
hsa-mir-1267,2.0839477266942117,0.7203220010812983,0.0
hsa-mir-3167,2.0820305403512123,0.7206743524647967,0.0
hsa-mir-4655,2.078770288425357,0.7212735704582447,0.0
hsa-mir-593,2.0784099472572297,0.7213398016605986,0.0
hsa-mir-147a,2.076609671818044,0.7216707014658393,0.0
hsa-mir-6722,2.06856458055634,0.723149561020278,0.0
hsa-mir-1289-2,2.051214844874654,0.726339454565784,0.0
hsa-mir-489,2.0401402224523846,0.7283759917788812,0.0
hsa-mir-5694,2.037403239509501,0.7288793382332924,0.0
hsa-mir-4525,2.028656746249102,0.7304879475202661,0.0
hsa-mir-5691,2.026963366732131,0.7307993974318308,0.0
hsa-mir-1178,2.019324085184379,0.7322044705516719,0.0
hsa-mir-187,2.012018529405707,0.7335482106673465,0.0
hsa-mir-3927,2.0093100307634053,0.7340464040559302,0.0
hsa-mir-4666a,2.0016342790415047,0.7354582735460711,0.0
hsa-mir-378f,1.9923003308103526,0.737175153837,0.0
hsa-mir-3915,1.9894025816480556,0.7377081593678034,0.0
hsa-mir-3180-2,1.9882051004986758,0.7379284202482157,0.0
hsa-mir-603,1.9875044057545264,0.7380573034569191,0.0
hsa-mir-137,1.9796150948884366,0.7395084108396304,0.0
hsa-mir-1297,1.9676949990197476,0.7417007947110297,0.0
hsa-mir-4712,1.9671591018121068,0.7417993542773677,0.0
hsa-mir-1281,1.966472356861553,0.7419256563696713,0.0
hsa-mir-6766,1.947884253174338,0.7453439391527777,0.0
hsa-mir-6740,1.9396024676340096,0.7468666732603989,0.0
hsa-mir-6826,1.9338060242644857,0.747932323691815,0.0
hsa-mir-4773-1,1.9285971499340966,0.7488898622479253,0.0
hsa-mir-4694,1.9269219768955541,0.7491977871879041,0.0
hsa-mir-4726,1.9240441497361536,0.749726757189429,0.0
hsa-mir-5587,1.923157134079783,0.7498897924836418,0.0
hsa-mir-4730,1.9139521431327224,0.751581511706329,0.0
hsa-mir-4520-1,1.8981175028236121,0.7544908055842008,0.0
hsa-mir-876,1.8913215404171426,0.7557390584090847,0.0
hsa-mir-372,1.8897603774355805,0.7560257721972404,0.0
hsa-mir-548u,1.8861723652477091,0.7566846750971068,0.0
hsa-mir-449b,1.8626134329462118,0.7610091576498922,0.0
hsa-mir-1302-3,1.8624427515611361,0.7610404750832876,0.01
hsa-mir-378e,1.861842620901655,0.7611505883458063,0.0
hsa-mir-3921,1.8591024497591782,0.7616533295062915,0.0
hsa-mir-4749,1.848996023652266,0.7635071029899889,0.0
hsa-mir-548m,1.8482809439403325,0.7636382383176965,0.0
hsa-mir-1207,1.8443568649903925,0.7643577888923636,0.0
hsa-mir-668,1.8360335398931737,0.7658836221679588,0.0
hsa-mir-548ab,1.835121540110463,0.7660507762072372,0.0
hsa-mir-7853,1.8338650048035543,0.7662810665187155,0.0
hsa-mir-5692a-1,1.832483729360722,0.7665342033323805,0.0
hsa-mir-4426,1.832324453347637,0.7665633917226671,0.0
hsa-mir-3202-1,1.8307976444328453,0.766843178801407,0.0
hsa-mir-6801,1.8215772823720027,0.7685323797391557,0.0
hsa-mir-4804,1.804437367745676,0.7716704096596829,0.0
hsa-mir-7113,1.8019746492422533,0.7721210591506986,0.0
hsa-mir-630,1.7968218063172503,0.773063772579617,0.0
hsa-mir-922,1.7855968536062443,0.7751164183306289,0.0
hsa-mir-4435-1,1.7776525259596978,0.7765683231181234,0.0
hsa-mir-4682,1.755707749451988,0.780575113528681,0.0
hsa-mir-1278,1.7461076816174912,0.7823260575102459,0.0
hsa-mir-4650-1,1.7441414336616394,0.7826845299052251,0.0
hsa-mir-4310,1.741585325916707,0.7831504640064415,0.0
hsa-mir-761,1.7399368215885958,0.7834509109475098,0.0
hsa-mir-3149,1.7385693687697399,0.783700106979389,0.0
hsa-mir-4690,1.738127386364063,0.7837806456119359,0.0
hsa-mir-6073,1.7315266443904052,0.7849831198595159,0.0
hsa-mir-4790,1.7307514157268142,0.7851243052343473,0.0
hsa-mir-554,1.7262504595185673,0.7859438545380155,0.0
hsa-mir-449c,1.7230451523686359,0.7865273097278307,0.0
hsa-mir-891b,1.7210693182076895,0.7868868918403762,0.0
hsa-mir-541,1.7201915909438468,0.787046611009472,0.0
hsa-mir-6745,1.718201637582308,0.7874086785806185,0.0
hsa-mir-548ag-1,1.7167452096775553,0.7876736349702543,0.0
hsa-mir-5093,1.7118112926208675,0.7885709857180486,0.0
hsa-mir-4510,1.7097839968632917,0.7889395903180143,0.03
hsa-mir-4721,1.7058241293826306,0.7896593933435527,0.0
hsa-mir-770,1.696812886679202,0.7912964857941697,0.0
hsa-mir-3180-5,1.6959974142348808,0.7914445701496035,0.0
hsa-mir-548ac,1.6939470782673471,0.7918168495945332,0.0
hsa-mir-373,1.6872513405782228,0.7930321114618902,0.0
hsa-mir-892c,1.685107683290196,0.7934210221818621,0.0
hsa-mir-663b,1.6843059812649441,0.7935664501318198,0.0
hsa-mir-3141,1.6786742784091813,0.7945877256542347,0.0
hsa-mir-4417,1.6693185263488244,0.7962831131766686,0.0
hsa-mir-3941,1.6685095952308258,0.7964296293059218,0.0
