Fold-Change,Chi-Squared,Information Gain
hsa-mir-4498,hsa-mir-449a,hsa-mir-4282
hsa-mir-4503,hsa-mir-449b,hsa-mir-4290
hsa-mir-4504,hsa-mir-449c,hsa-mir-4291
hsa-mir-4505,hsa-mir-4503,hsa-mir-4292
hsa-mir-4506,hsa-mir-4504,hsa-mir-4293
hsa-mir-4508,hsa-mir-4508,hsa-mir-431
hsa-mir-4512,hsa-mir-4510,hsa-mir-4313
hsa-mir-4513,hsa-mir-4512,hsa-mir-4314
hsa-mir-4518,hsa-mir-4516,hsa-mir-432
hsa-mir-451b,hsa-mir-451b,hsa-mir-4321
hsa-mir-4520-1,hsa-mir-4520-1,hsa-mir-4322
hsa-mir-4520-2,hsa-mir-4520-2,hsa-mir-4327
hsa-mir-4526,hsa-mir-4522,hsa-mir-4328
hsa-mir-4534,hsa-mir-4523,hsa-mir-433
hsa-mir-4538,hsa-mir-4525,hsa-mir-4419b
hsa-mir-4539,hsa-mir-4526,hsa-mir-4424
hsa-mir-4633,hsa-mir-4535,hsa-mir-4429
hsa-mir-4634,hsa-mir-4536-1,hsa-mir-4431
hsa-mir-4635,hsa-mir-4537,hsa-mir-4432
hsa-mir-4642,hsa-mir-4639,hsa-mir-4436a
hsa-mir-4647,hsa-mir-4642,hsa-mir-4444-2
hsa-mir-4650-1,hsa-mir-4648,hsa-mir-4449
hsa-mir-4650-2,hsa-mir-4650-1,hsa-mir-4453
hsa-mir-4651,hsa-mir-4651,hsa-mir-4454
hsa-mir-4653,hsa-mir-4652,hsa-mir-4466
hsa-mir-4655,hsa-mir-4655,hsa-mir-4471
hsa-mir-4656,hsa-mir-4656,hsa-mir-4472-1
hsa-mir-4659b,hsa-mir-466,hsa-mir-4474
hsa-mir-466,hsa-mir-4663,hsa-mir-4476
hsa-mir-4666b,hsa-mir-4666a,hsa-mir-4477b
hsa-mir-4671,hsa-mir-4666b,hsa-mir-4478
hsa-mir-4675,hsa-mir-4673,hsa-mir-448
hsa-mir-4678,hsa-mir-4675,hsa-mir-4485
hsa-mir-4679-1,hsa-mir-4678,hsa-mir-4486
hsa-mir-4686,hsa-mir-4679-1,hsa-mir-4487
hsa-mir-4688,hsa-mir-4681,hsa-mir-4498
hsa-mir-4692,hsa-mir-4682,hsa-mir-4501
hsa-mir-4693,hsa-mir-4688,hsa-mir-4504
hsa-mir-4694,hsa-mir-4690,hsa-mir-4507
hsa-mir-4696,hsa-mir-4692,hsa-mir-4509-1
