Fold-Change,RFE,NCA
hsa-mir-3185,,hsa-mir-3650
hsa-mir-3197,,hsa-mir-3654
hsa-mir-3529,,hsa-mir-3655
hsa-mir-3591,,hsa-mir-3658
hsa-mir-3612,,hsa-mir-3665
hsa-mir-3621,,hsa-mir-3668
hsa-mir-3649,,hsa-mir-367
hsa-mir-3657,,hsa-mir-3672
hsa-mir-3658,,hsa-mir-3674
hsa-mir-3659,,hsa-mir-3675
hsa-mir-3662,,hsa-mir-3678
hsa-mir-3663,,hsa-mir-3680-2
hsa-mir-3665,,hsa-mir-3683
hsa-mir-3668,,hsa-mir-3685
hsa-mir-367,,hsa-mir-3686
hsa-mir-3672,,hsa-mir-3688-1
hsa-mir-3675,,hsa-mir-3688-2
hsa-mir-3681,,hsa-mir-3689c
hsa-mir-3686,,hsa-mir-3690-1
hsa-mir-3688-1,,hsa-mir-371b
hsa-mir-3688-2,,hsa-mir-378b
hsa-mir-3689b,,hsa-mir-378d-1
hsa-mir-3689c,,hsa-mir-378e
hsa-mir-3689d-1,,hsa-mir-378f
hsa-mir-371a,,hsa-mir-378g
hsa-mir-372,,hsa-mir-378i
hsa-mir-373,,hsa-mir-378j
hsa-mir-378b,,hsa-mir-383
hsa-mir-378e,,hsa-mir-384
hsa-mir-378g,,hsa-mir-3907
hsa-mir-378h,,hsa-mir-3910-1
hsa-mir-378i,,hsa-mir-3910-2
hsa-mir-378j,,hsa-mir-3912
hsa-mir-383,,hsa-mir-3914-1
hsa-mir-3914-1,,hsa-mir-3914-2
hsa-mir-3914-2,,hsa-mir-3915
hsa-mir-3915,,hsa-mir-3920
hsa-mir-3918,,hsa-mir-3921
hsa-mir-3923,,hsa-mir-3925
hsa-mir-3924,,hsa-mir-3926-1
hsa-mir-3927,,hsa-mir-3936
hsa-mir-3929,,hsa-mir-3945
hsa-mir-3935,,hsa-mir-3972
hsa-mir-3938,,hsa-mir-3975
hsa-mir-3960,,hsa-mir-422a
hsa-mir-3973,,hsa-mir-4257
hsa-mir-422a,,hsa-mir-4258
hsa-mir-4256,,hsa-mir-4260
hsa-mir-4258,,hsa-mir-4263
hsa-mir-4260,,hsa-mir-4264
hsa-mir-4263,,hsa-mir-4271
hsa-mir-4264,,hsa-mir-4276
hsa-mir-4276,,hsa-mir-4278
hsa-mir-4279,,hsa-mir-4279
hsa-mir-4289,,hsa-mir-4280
hsa-mir-4292,,hsa-mir-4284
hsa-mir-4295,,hsa-mir-4288
hsa-mir-4296,,hsa-mir-4295
hsa-mir-4300,,hsa-mir-4310
hsa-mir-4302,,hsa-mir-4315-1
hsa-mir-4308,,hsa-mir-4315-2
hsa-mir-4315-1,,hsa-mir-4317
hsa-mir-4315-2,,hsa-mir-4321
hsa-mir-4320,,hsa-mir-4322
hsa-mir-4321,,hsa-mir-4323
hsa-mir-4322,,hsa-mir-4324
hsa-mir-4417,,hsa-mir-4327
hsa-mir-4420,,hsa-mir-4418
hsa-mir-4425,,hsa-mir-4419b
hsa-mir-4427,,hsa-mir-4420
hsa-mir-4428,,hsa-mir-4421
hsa-mir-4429,,hsa-mir-4422
hsa-mir-4430,,hsa-mir-4423
hsa-mir-4431,,hsa-mir-4424
hsa-mir-4432,,hsa-mir-4427
hsa-mir-4433a,,hsa-mir-4428
hsa-mir-4433b,,hsa-mir-4430
hsa-mir-4435-2,,hsa-mir-4432
hsa-mir-4436a,,hsa-mir-4435-1
hsa-mir-4436b-2,,hsa-mir-4435-2
hsa-mir-4437,,hsa-mir-4436a
hsa-mir-4438,,hsa-mir-4438
hsa-mir-4440,,hsa-mir-4439
hsa-mir-4445,,hsa-mir-4440
hsa-mir-4450,,hsa-mir-4441
hsa-mir-4451,,hsa-mir-4445
hsa-mir-4452,,hsa-mir-4452
hsa-mir-4454,,hsa-mir-4453
hsa-mir-4458,,hsa-mir-4454
hsa-mir-4460,,hsa-mir-4459
hsa-mir-4461,,hsa-mir-4460
hsa-mir-4462,,hsa-mir-4462
hsa-mir-4464,,hsa-mir-4463
hsa-mir-4465,,hsa-mir-4470
hsa-mir-4466,,hsa-mir-4471
hsa-mir-4467,,hsa-mir-4476
hsa-mir-4468,,hsa-mir-4478
hsa-mir-4471,,hsa-mir-4480
hsa-mir-4476,,hsa-mir-4482
hsa-mir-448,,hsa-mir-4485
hsa-mir-4483,,hsa-mir-4487
hsa-mir-4485,,hsa-mir-4489
hsa-mir-4487,,hsa-mir-4490
hsa-mir-4493,,hsa-mir-4493
hsa-mir-4496,,hsa-mir-4494
hsa-mir-4497,,hsa-mir-4496
hsa-mir-4498,,hsa-mir-4498
hsa-mir-4503,,hsa-mir-4503
hsa-mir-4504,,hsa-mir-4504
hsa-mir-4505,,hsa-mir-4505
hsa-mir-4506,,hsa-mir-4508
hsa-mir-4508,,hsa-mir-4510
hsa-mir-4512,,hsa-mir-4512
hsa-mir-4513,,hsa-mir-4513
hsa-mir-4518,,hsa-mir-4516
hsa-mir-451b,,hsa-mir-4519
hsa-mir-4520-1,,hsa-mir-451b
hsa-mir-4520-2,,hsa-mir-4520-1
hsa-mir-4526,,hsa-mir-4520-2
hsa-mir-4534,,hsa-mir-4522
hsa-mir-4538,,hsa-mir-4526
hsa-mir-4539,,hsa-mir-4528
hsa-mir-4633,,hsa-mir-4530
hsa-mir-4634,,hsa-mir-4534
hsa-mir-4635,,hsa-mir-4535
hsa-mir-4642,,hsa-mir-4536-1
hsa-mir-4647,,hsa-mir-4536-2
hsa-mir-4650-1,,hsa-mir-4538
hsa-mir-4650-2,,hsa-mir-4539
hsa-mir-4651,,hsa-mir-4633
hsa-mir-4653,,hsa-mir-4635
hsa-mir-4655,,hsa-mir-4637
hsa-mir-4656,,hsa-mir-4639
hsa-mir-4659b,,hsa-mir-4641
hsa-mir-466,,hsa-mir-4642
hsa-mir-4666b,,hsa-mir-4645
hsa-mir-4671,,hsa-mir-4649
hsa-mir-4675,,hsa-mir-4650-1
hsa-mir-4678,,hsa-mir-4651
hsa-mir-4679-1,,hsa-mir-4659b
hsa-mir-4686,,hsa-mir-4662b
hsa-mir-4688,,hsa-mir-4663
hsa-mir-4692,,hsa-mir-4666a
hsa-mir-4693,,hsa-mir-4666b
hsa-mir-4694,,hsa-mir-4669
hsa-mir-4696,,hsa-mir-4671
hsa-mir-4698,,hsa-mir-4672
hsa-mir-4701,,hsa-mir-4673
hsa-mir-4704,,hsa-mir-4675
hsa-mir-4705,,hsa-mir-4678
hsa-mir-4711,,hsa-mir-4679-1
hsa-mir-4712,,hsa-mir-4679-2
hsa-mir-4718,,hsa-mir-4680
hsa-mir-4719,,hsa-mir-4681
hsa-mir-4734,,hsa-mir-4688
hsa-mir-4735,,hsa-mir-4690
hsa-mir-4737,,hsa-mir-4692
hsa-mir-4739,,hsa-mir-4693
hsa-mir-4744,,hsa-mir-4694
hsa-mir-4756,,hsa-mir-4696
hsa-mir-4759,,hsa-mir-4697
hsa-mir-4764,,hsa-mir-4698
