Feature,Info_Gain_General,Info_Gain_Stage,Info_Gain_Subtype
hsa-mir-515-2,0.005022695783247322,0.0009470110564175904,0.0055305574858079964
hsa-mir-6852,0.00499518159910628,0.0,0.0
hsa-mir-219a-1,0.004974415135784338,0.004354306783016959,0.0013961625177083548
hsa-mir-378d-1,0.00496012208880392,0.0,0.0234819136311184
hsa-mir-1197,0.004940102714678263,0.02208871988393879,0.0006405537423521679
hsa-mir-521-2,0.004920333128708654,0.0,0.0
hsa-mir-617,0.0049069790547833225,0.0,0.024539189117295468
hsa-mir-3920,0.0048991323906919515,0.0,0.015697062141903695
hsa-mir-410,0.004877217317905136,0.001745096525958445,0.0
hsa-mir-6733,0.004823576176778532,0.008080756089666519,0.0
hsa-mir-5191,0.0048027635256363554,0.006215412725534275,0.022868580620037715
hsa-mir-6732,0.004751321301542988,0.009118954875037222,0.002542108282183708
hsa-mir-5704,0.004723731575258516,0.009390831688841583,0.0
hsa-mir-4282,0.004673197513130667,0.022455370961026677,0.01611065132834355
hsa-mir-501,0.0046640362997570906,0.0,0.0
hsa-mir-320e,0.00466374839661432,0.019265594461305824,0.0
hsa-mir-4454,0.004656876813771693,0.0,0.02482129566573521
hsa-mir-5192,0.004650298412648413,0.0,0.027071055681325173
hsa-let-7a-2,0.004615982936705065,0.0,0.023205113666310284
hsa-mir-454,0.004606878118413205,0.03312048254537192,0.01135235448485905
hsa-mir-8086,0.004604015978441511,0.03276986986842623,0.0
hsa-mir-30b,0.0046023619845110275,0.008217736414483312,0.006616715953783103
hsa-mir-548aj-1,0.00459855586133473,0.012288831356813468,0.020937218288626047
hsa-mir-195,0.004593155113983838,0.004253988462660008,0.009133758803435477
hsa-mir-6776,0.0045920898992887205,0.020853636930275865,0.0
hsa-mir-3118-1,0.004538867661541657,0.0,0.00474705979269463
hsa-mir-6799,0.0045353451824596824,0.0,0.0
hsa-mir-181c,0.004530204039631003,0.0,0.0
hsa-mir-514a-1,0.004500946883866708,0.0,0.0
hsa-mir-618,0.004482753427355712,0.02741947847331616,0.015068480338233492
